text,classify
Tôi thích bộ phim này!,error
Bộ phim này rất tệ.,error
Cửa hàng sẽ mở cửa vào ngày mai.,error
Món ăn này ngon tuyệt vời!,error
Thời tiết hôm nay thật đẹp.,error
Tôi rất thất vọng về kết quả này.,error
Buổi họp hôm nay khá bình thường.,error
Sản phẩm này vượt quá mong đợi của tôi!,error
Dịch vụ khách hàng ở đây thật tệ.,error
Tôi cảm thấy hơi mệt mỏi hôm nay.,error
Cuốn sách này thật sự rất hay.,error
Tôi không thích món ăn này chút nào.,error
Chuyến đi này thật tuyệt vời!,error
Tôi cảm thấy hơi buồn.,error
Công việc mới của tôi rất thú vị.,error
Tôi ghét phải đợi trong hàng dài.,error
Bữa tiệc tối qua rất vui.,error
Tôi lo lắng về kỳ thi sắp tới.,error
Phong cảnh ở đây thật đẹp.,error
Tôi rất thất vọng về chất lượng sản phẩm.,error
Buổi hòa nhạc thật tuyệt vời!,error
Tôi cảm thấy hơi chán nản.,error
Món ăn này có vị rất lạ.,error
Tôi rất vui khi gặp lại bạn cũ.,error
Tôi không thích cách họ đối xử với khách hàng.,error
Bộ phim mới này thật nhàm chán.,error
Tôi rất hài lòng với kết quả.,error
Thời tiết hôm nay thật khó chịu.,error
Tôi cảm thấy rất phấn khích về dự án mới.,error
Bài hát này làm tôi buồn.,error
Tôi rất tự hào về thành tích của con tôi.,error
Tôi không hài lòng với dịch vụ này.,error
Buổi phỏng vấn diễn ra rất suôn sẻ.,error
Tôi cảm thấy hơi lo lắng về tương lai.,error
Món quà này thật ý nghĩa.,error
Tôi rất thất vọng về quyết định của họ.,error
Chuyến du lịch này thật đáng nhớ.,error
Tôi cảm thấy hơi bực mình.,error
Sản phẩm này đáng giá từng đồng.,error
Tôi không thích cách họ tổ chức sự kiện.,error
Buổi tiệc sinh nhật thật vui.,error
Tôi lo lắng về tình hình tài chính.,error
Phong cách làm việc của họ rất chuyên nghiệp.,error
Tôi rất thất vọng về kết quả trận đấu.,error
Buổi biểu diễn thật tuyệt vời!,error
Tôi cảm thấy hơi buồn chán.,error
Món ăn này có hương vị rất độc đáo.,error
Tôi rất vui khi được thăng chức.,error
Tôi không thích cách họ giải quyết vấn đề.,error
Bộ phim tài liệu này rất thú vị.,error
Tôi rất hài lòng với dịch vụ khách hàng.,error
Thời tiết hôm nay thật khó đoán.,error
Tôi cảm thấy rất phấn khởi về kỳ nghỉ sắp tới.,error
Bài phát biểu này làm tôi cảm động.,error
Tôi rất tự hào về đội bóng của mình.,error
Tôi không hài lòng với chất lượng sản phẩm.,error
Buổi họp diễn ra rất hiệu quả.,error
Tôi cảm thấy hơi lo lắng về sức khỏe.,error
Món quà này thật bất ngờ và ý nghĩa.,error
Tôi rất thất vọng về cách họ xử lý tình huống.,error
Chuyến công tác này rất bổ ích.,error
Tôi cảm thấy hơi khó chịu vì thời tiết.,error
Sản phẩm này không đáp ứng được kỳ vọng của tôi.,error
Tôi không thích cách họ quảng cáo sản phẩm.,error
Buổi gặp mặt gia đình thật ấm áp.,error
Tôi lo lắng về tình hình môi trường.,error
Cách họ thiết kế website rất ấn tượng.,error
Tôi rất thất vọng về chất lượng dịch vụ.,error
Buổi hòa nhạc ngoài trời thật tuyệt vời!,error
Tôi cảm thấy hơi mệt mỏi sau chuyến đi dài.,error
Món tráng miệng này có vị ngọt vừa phải.,error
Tôi rất vui khi dự án được phê duyệt.,error
Tôi không thích cách họ đối xử với nhân viên.,error
Cuộc triển lãm nghệ thuật này rất sáng tạo.,error
Tôi rất hài lòng với kết quả kiểm tra.,error
Thời tiết hôm nay thật dễ chịu.,error
Tôi cảm thấy rất hào hứng về sự kiện sắp tới.,error
